river_name,question_id,question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer_index
Aapsta,Aapsta_1,At what elevation above sea level does the Aapsta river originate?,1445 meters,1455 meters,1435 meters,1545 meters,1440 meters,0
Aapsta,Aapsta_2,The Aapsta river originates on the southern slopes of which ridge?,Achbikhvdar ridge,Gudauta ridge,Black Sea ridge,Abkhazia ridge,Southern ridge,0
Aapsta,Aapsta_1,At what elevation above sea level does the Aapsta river originate?,1445 meters,1455 meters,1435 meters,1545 meters,1345 meters,0
Aapsta,Aapsta_2,The Aapsta river originates on the southern slopes of which ridge?,Achbikhvdar ridge,Gudauta ridge,Black Sea ridge,Abkhazia ridge,Caucasus ridge,0
Aarons Creek (Dan River tributary),Aarons Creek (Dan River tributary)_1,What is the approximate length of Aarons Creek in kilometers?,44.64 km,27.74 km,44.00 km,27.00 km,45.00 km,0
Aarons Creek (Dan River tributary),Aarons Creek (Dan River tributary)_2,Aarons Creek is classified as which order tributary?,2nd order,4th order,3rd order,1st order,5th order,2
Abadi Creek,Abadi Creek_1,In which U.S. state is Abadi Creek situated?,California,Oregon,Nevada,Arizona,Washington,0
Abadi Creek,Abadi Creek_2,Abadi Creek is located within which specific county?,Los Angeles County,Santa Barbara County,Ventura County,San Luis Obispo County,Orange County,1
Abagadasset River,Abagadasset River_1,What is the approximate length of the Abagadasset River in kilometers?,25.7 km,16.0 km,25.0 km,16.7 km,26.0 km,0
Abagadasset River,Abagadasset River_2,The Abagadasset River is a tributary of which larger river system?,Kennebec River,Androscoggin River,Saco River,Penobscot River,Kennebec River estuary,0
Abalobadiah Creek,Abalobadiah Creek_1,What is the approximate distance of Abalobadiah Creek's mouth from the mouth of Ten Mile River along the Pacific Ocean coast?,About a mile,About two miles,About half a mile,About three miles,About a quarter mile,0
Abalobadiah Creek,Abalobadiah Creek_2,"At what elevation, in meters, does Abalobadiah Creek originate in the coastal mountains?",240 m,800 m,120 m,400 m,600 m,0
Abandon Creek,Abandon Creek_1,Abandon Creek is a tributary to which larger river system?,Caribou Creek,Snake River,Salmon River,Boise River,Payette River,0
Abandon Creek,Abandon Creek_2,What geographical feature is Abandon Creek located within?,The U.S. state of Idaho,The state of Montana,The state of Wyoming,The state of Oregon,The state of Washington,0
Abasha (river),Abasha (river)_1,What is the total area of the Abasha river's catchment in square miles?,370 sq mi,66 sq mi,41 sq mi,37 sq mi,140 sq mi,4
Abasha (river),Abasha (river)_2,Which of the following is NOT an alternative name for the Abasha river?,Abashistskali,Abasha,Abashatskari,Abashistsqali,Abashatskari,3
Abbe Creek,Abbe Creek_1,In which U.S. county is Abbe Creek located?,Linn County,Clay County,Scott County,Johnson County,Cedar County,0
Abbe Creek,Abbe Creek_2,What is the origin of the name 'Abbe Creek'?,"Named after William Abbe, who settled there",Named after a prominent local geological feature,Named in honor of a historical Native American tribe,Named after a significant battle that occurred nearby,Named for the type of trees commonly found along its banks,0
Abbott Branch,Abbott Branch_1,Approximately how far east of its confluence with Courtois Creek does Missouri Route Z cross Abbott Branch?,1000 feet,2000 feet,1.2 miles,4.0 miles,1.9 km,0
Abbott Branch,Abbott Branch_2,"What is the approximate distance between the headwaters of Abbott Branch and the community of Viburnum, measured in miles?",1.2 miles,1.9 km,4.0 miles,5.2 miles,7.6 miles,3
Abbotts Creek (North Carolina),Abbotts Creek (North Carolina)_1,"What is the median flow range of Abbotts Creek at Lexington, NC?",50 to 200 cubic feet per second,20 to 150 cubic feet per second,100 to 250 cubic feet per second,50 to 200 gallons per minute,25 to 175 cubic feet per second,0
Abbotts Creek (North Carolina),Abbotts Creek (North Carolina)_2,Which entity controls and manages the lake up to the high water mark at Abbotts Creek?,Alcoa,The US Government,The state of North Carolina,Davidson County,Forsyth County,0
Abe Lord Creek,Abe Lord Creek_1,What is the precise length of Abe Lord Creek in miles?,2.62 mi,4.22 mi,1.00 mi,3.50 mi,2.00 mi,0
Abe Lord Creek,Abe Lord Creek_2,Abe Lord Creek is a tributary of which larger river system?,Delaware River,Hudson River,Susquehanna River,Allegheny River,Ohio River,0
Aberdeen Creek (Drowning Creek tributary),Aberdeen Creek (Drowning Creek tributary)_1,What is the approximate length of Aberdeen Creek in miles?,12.45 mi,20.04 mi,10.50 mi,15.75 mi,12.00 mi,0
Aberdeen Creek (Drowning Creek tributary),Aberdeen Creek (Drowning Creek tributary)_2,Aberdeen Creek is a tributary to which larger river system?,Lumber River,Drowning Creek,Moore River,Carolina Creek,Aberdeen River,1
Aberjona River,Aberjona River_1,What is the approximate total area of the Aberjona River's watershed in square miles?,25 square miles,15 square miles,9.3 square miles,250 square miles,15.0 square miles,0
Aberjona River,Aberjona River_2,"Which specific chemical, identified in a 1995 study of Upper Mystic Lake sediments, was deposited by chemical and leather industries dating from the early 1900s and is present in high concentrations?",Arsenic,Lead,Chromium,Copper,Zinc,0
Abiaca Creek,Abiaca Creek_1,Which of the following is the most accurate Choctaw etymology for 'Abiaca'?,The side of a swamp or creek,A place of abundant fish,The confluence of two waters,A winding path through the forest,The dwelling of water spirits,0
Abiaca Creek,Abiaca Creek_2,Abiaca Creek traverses which combination of Mississippi counties?,"Carroll, Leflore, and Holmes","Carroll, Attala, and Holmes","Leflore, Yazoo, and Carroll","Holmes, Madison, and Leflore","Attala, Yazoo, and Madison",0
Abiqua Creek,Abiqua Creek_1,"What is the approximate distance, in miles, from Abiqua Creek's confluence with the Pudding River to the point where the Pudding River meets the Molalla River?",20 miles,2 miles,29 miles,32 miles,47 miles,0
Abiqua Creek,Abiqua Creek_2,How far west of Silverton does Abiqua Creek join the Pudding River?,About 2 miles,About 1.6 miles,About 20 miles,About 32 miles,About 47 miles,0
