river_name,question_id,question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer_index
Aapsta,Aapsta_1,At what elevation above sea level does the Aapsta river originate?,1545 meters,1455 meters,1435 meters,1440 meters,1445 meters,4
Aapsta,Aapsta_2,The Aapsta river originates on the southern slopes of which ridge?,Abkhazia ridge,Gudauta ridge,Black Sea ridge,Southern ridge,Achbikhvdar ridge,4
Aapsta,Aapsta_1,At what elevation above sea level does the Aapsta river originate?,1545 meters,1455 meters,1435 meters,1345 meters,1445 meters,4
Aapsta,Aapsta_2,The Aapsta river originates on the southern slopes of which ridge?,Abkhazia ridge,Gudauta ridge,Black Sea ridge,Caucasus ridge,Achbikhvdar ridge,4
Aarons Creek (Dan River tributary),Aarons Creek (Dan River tributary)_1,What is the approximate length of Aarons Creek in kilometers?,27.00 km,27.74 km,44.00 km,45.00 km,44.64 km,4
Aarons Creek (Dan River tributary),Aarons Creek (Dan River tributary)_2,Aarons Creek is classified as which order tributary?,1st order,4th order,3rd order,5th order,2nd order,2
Abadi Creek,Abadi Creek_1,In which U.S. state is Abadi Creek situated?,Arizona,Oregon,Nevada,Washington,California,4
Abadi Creek,Abadi Creek_2,Abadi Creek is located within which specific county?,San Luis Obispo County,Santa Barbara County,Ventura County,Orange County,Los Angeles County,1
Abagadasset River,Abagadasset River_1,What is the approximate length of the Abagadasset River in kilometers?,16.7 km,16.0 km,25.0 km,26.0 km,25.7 km,4
Abagadasset River,Abagadasset River_2,The Abagadasset River is a tributary of which larger river system?,Penobscot River,Androscoggin River,Saco River,Kennebec River estuary,Kennebec River,4
Abalobadiah Creek,Abalobadiah Creek_1,What is the approximate distance of Abalobadiah Creek's mouth from the mouth of Ten Mile River along the Pacific Ocean coast?,About three miles,About two miles,About half a mile,About a quarter mile,About a mile,4
Abalobadiah Creek,Abalobadiah Creek_2,"At what elevation, in meters, does Abalobadiah Creek originate in the coastal mountains?",400 m,800 m,120 m,600 m,240 m,4
Abandon Creek,Abandon Creek_1,Abandon Creek is a tributary to which larger river system?,Boise River,Snake River,Salmon River,Payette River,Caribou Creek,4
Abandon Creek,Abandon Creek_2,What geographical feature is Abandon Creek located within?,The state of Oregon,The state of Montana,The state of Wyoming,The state of Washington,The U.S. state of Idaho,4
Abasha (river),Abasha (river)_1,What is the total area of the Abasha river's catchment in square miles?,37 sq mi,66 sq mi,41 sq mi,140 sq mi,370 sq mi,3
Abasha (river),Abasha (river)_2,Which of the following is NOT an alternative name for the Abasha river?,Abashistsqali,Abasha,Abashatskari,Abashatskari,Abashistskali,0
Abbe Creek,Abbe Creek_1,In which U.S. county is Abbe Creek located?,Johnson County,Clay County,Scott County,Cedar County,Linn County,4
Abbe Creek,Abbe Creek_2,What is the origin of the name 'Abbe Creek'?,Named after a significant battle that occurred nearby,Named after a prominent local geological feature,Named in honor of a historical Native American tribe,Named for the type of trees commonly found along its banks,"Named after William Abbe, who settled there",4
Abbott Branch,Abbott Branch_1,Approximately how far east of its confluence with Courtois Creek does Missouri Route Z cross Abbott Branch?,4.0 miles,2000 feet,1.2 miles,1.9 km,1000 feet,4
Abbott Branch,Abbott Branch_2,"What is the approximate distance between the headwaters of Abbott Branch and the community of Viburnum, measured in miles?",5.2 miles,1.9 km,4.0 miles,7.6 miles,1.2 miles,0
Abbotts Creek (North Carolina),Abbotts Creek (North Carolina)_1,"What is the median flow range of Abbotts Creek at Lexington, NC?",50 to 200 gallons per minute,20 to 150 cubic feet per second,100 to 250 cubic feet per second,25 to 175 cubic feet per second,50 to 200 cubic feet per second,4
Abbotts Creek (North Carolina),Abbotts Creek (North Carolina)_2,Which entity controls and manages the lake up to the high water mark at Abbotts Creek?,Davidson County,The US Government,The state of North Carolina,Forsyth County,Alcoa,4
Abe Lord Creek,Abe Lord Creek_1,What is the precise length of Abe Lord Creek in miles?,3.50 mi,4.22 mi,1.00 mi,2.00 mi,2.62 mi,4
Abe Lord Creek,Abe Lord Creek_2,Abe Lord Creek is a tributary of which larger river system?,Allegheny River,Hudson River,Susquehanna River,Ohio River,Delaware River,4
Aberdeen Creek (Drowning Creek tributary),Aberdeen Creek (Drowning Creek tributary)_1,What is the approximate length of Aberdeen Creek in miles?,15.75 mi,20.04 mi,10.50 mi,12.00 mi,12.45 mi,4
Aberdeen Creek (Drowning Creek tributary),Aberdeen Creek (Drowning Creek tributary)_2,Aberdeen Creek is a tributary to which larger river system?,Carolina Creek,Drowning Creek,Moore River,Aberdeen River,Lumber River,1
Aberjona River,Aberjona River_1,What is the approximate total area of the Aberjona River's watershed in square miles?,250 square miles,15 square miles,9.3 square miles,15.0 square miles,25 square miles,4
Aberjona River,Aberjona River_2,"Which specific chemical, identified in a 1995 study of Upper Mystic Lake sediments, was deposited by chemical and leather industries dating from the early 1900s and is present in high concentrations?",Copper,Lead,Chromium,Zinc,Arsenic,4
Abiaca Creek,Abiaca Creek_1,Which of the following is the most accurate Choctaw etymology for 'Abiaca'?,A winding path through the forest,A place of abundant fish,The confluence of two waters,The dwelling of water spirits,The side of a swamp or creek,4
Abiaca Creek,Abiaca Creek_2,Abiaca Creek traverses which combination of Mississippi counties?,"Holmes, Madison, and Leflore","Carroll, Attala, and Holmes","Leflore, Yazoo, and Carroll","Attala, Yazoo, and Madison","Carroll, Leflore, and Holmes",4
Abiqua Creek,Abiqua Creek_1,"What is the approximate distance, in miles, from Abiqua Creek's confluence with the Pudding River to the point where the Pudding River meets the Molalla River?",32 miles,2 miles,29 miles,47 miles,20 miles,4
Abiqua Creek,Abiqua Creek_2,How far west of Silverton does Abiqua Creek join the Pudding River?,About 32 miles,About 1.6 miles,About 20 miles,About 47 miles,About 2 miles,4
Abita River,Abita River_1,What is the designated status of the Abita River's length from headwaters to mouth?,"Designated a ""Recreational Waterway""","Designated a ""Navigable Waterway""","Designated a ""Protected Wildlife Habitat""","Designated a ""Historic Landmark River""","Designated a ""Natural and Scenic River""",4
Abita River,Abita River_2,"If the Abita River is 9.3 miles long, approximately how many kilometers is its total length?",20.5 km,15.0 km,9.3 km,18.6 km,12.1 km,1
Abrahams Creek,Abrahams Creek_1,What is the approximate daily sediment load of Abrahams Creek in kilograms?,45 million kilograms,14 million kilograms,17.2 million kilograms,10.7 million kilograms,31 million kilograms,4
Abrahams Creek,Abrahams Creek_2,Which of the following rock formations is NOT listed as a main component of the Abrahams Creek watershed?,The Mauch Chunk Formation,The Catskill Formation,The Llewellyn Formation,The Pocono Formation,The Onondaga Formation,4
Abram Creek (Ohio),Abram Creek (Ohio)_1,What is the total drainage area of Abram Creek in square miles?,9.6 square miles,10.0 square miles,11.6 square miles,10.6 square kilometers,10.6 square miles,4
Abram Creek (Ohio),Abram Creek (Ohio)_2,Which municipality contributes the largest percentage of Abram Creek's basin area?,Berea (6.6%),Cleveland (13.1%),Middleburg Heights (48.8%),Parma Heights (0.2%),Brook Park (31.3%),2
Abram Creek (West Virginia),Abram Creek (West Virginia)_1,What is the approximate length of Abram Creek in kilometers?,19.2 km,19.4 km,31.0 km,31.4 km,31.2 km,4
Abram Creek (West Virginia),Abram Creek (West Virginia)_2,Abram Creek is a tributary stream of which larger river system?,Ohio River,South Branch Potomac River,Monongahela River,Allegheny River,North Branch Potomac River,4
Abrams Creek (Tennessee),Abrams Creek (Tennessee)_1,In what year was Abrams Creek deliberately poisoned to eliminate native fish populations?,1967,1956,1958,1947,1957,4
Abrams Creek (Tennessee),Abrams Creek (Tennessee)_2,Abrams Creek is a tributary of which larger river system?,French Broad River,Big Tennessee River,Holston River,Hiwassee River,Little Tennessee River,4
Abrams Creek (Virginia),Abrams Creek (Virginia)_1,What is the approximate length of Abrams Creek in kilometers?,18.0 miles,11.2 km,29.2 km,11.2 miles,18.0 km,4
Abrams Creek (Virginia),Abrams Creek (Virginia)_2,Abrams Creek originates north of which geographical landmark?,Winchester,Opequon Creek,Frederick County,Abraham's Creek,Round Hill,4
Abrams Run,Abrams Run_1,What is the geographical designation of Abrams Run?,A brook in Virginia,A river in Ohio,A creek in Pennsylvania,A waterway in Kentucky,A stream in West Virginia,4
Abrams Run,Abrams Run_2,The naming of Abrams Run is attributed to which historical figure?,Abram Williams,Abram Johnson,Abram Smith,Abram Brown,Abram Bennett,4
Accokeek Creek,Accokeek Creek_1,What is the total length of Accokeek Creek in kilometers?,15.4 miles,15.4 km,24.8 miles,30.2 km,24.8 km,4
Accokeek Creek,Accokeek Creek_2,Accokeek Creek is a tidal tributary of which larger river system?,Stafford Creek,Potomac Creek,Accokeek River,Virginia River,Potomac River,4
Accotink Creek,Accotink Creek_1,What is the approximate length of Accotink Creek in kilometers?,25.2 km,25.0 km,40.0 km,40.5 km,40.2 km,4
Accotink Creek,Accotink Creek_2,Accotink Creek is dammed to form which named lake?,Lake Potomac,Lake Springfield,Lake Gunston,Lake Belvoir,Lake Accotink,4
Acharistsqali,Acharistsqali_1,What is the total area of the Acharistsqali's drainage basin in square miles?,154 sq mi,"1,540 sq mi",56 sq mi,59 sq mi,590 sq mi,4
Acharistsqali,Acharistsqali_2,"If the Acharistsqali flows into the Çoruh, and the Çoruh flows into the Black Sea, what is the ultimate destination of the Acharistsqali's water?",The Aegean Sea,The Mediterranean Sea,The Black Sea,The Adriatic Sea,The Caspian Sea,2
Ackerly Creek,Ackerly Creek_1,What is the approximate drainage area of Ackerly Creek in square kilometers?,8.7 km²,14 km²,18 km²,87 km²,47 km²,4
Ackerly Creek,Ackerly Creek_2,Ackerly Creek is designated as a Coldwater Fishery and a Migratory Fishery; what type of fish were noted to inhabit it as of the 1990s?,Catfish,Salmon,Bass,Perch,Trout,4
Ackerman Creek,Ackerman Creek_1,"What is the Pomo tribal name for Ackerman Creek, and what does it translate to?",California bida - golden creek,Pinole bida - water hole creek,Mendo bida - mountain creek,Native bida - sacred creek,Ya-mo bida - wind hole creek,4
Ackerman Creek,Ackerman Creek_2,Which of the following is NOT a component of the Pinoleville Pomo Nation's ongoing restoration efforts for Ackerman Creek?,Ongoing monitoring of ground water,Removal of invasive species,Propagation of non-native fish species,Propagation of native species including steelhead,Monitoring of macroinvertebrates,2
Ackerson Creek,Ackerson Creek_1,Ackerson Creek is a tributary to which larger river system?,Stanislaus River,North Fork Tuolumne River,Merced River,Calaveras River,South Fork Tuolumne River,4
Ackerson Creek,Ackerson Creek_2,In which U.S. county is Ackerson Creek located?,Stanislaus County,Mariposa County,Calaveras County,Alpine County,Tuolumne County,4
Acorn Creek,Acorn Creek_1,What is the discharge rate of Acorn Creek in cubic feet per second?,2.74 gpm,2.07 cfs,3.47 cfs,2.74 m³/s,2.74 cfs,4
Acorn Creek,Acorn Creek_2,Acorn Creek is a tributary to which larger river system?,Savannah River,Ocmulgee River,Flint River,Etowah River,Chattahoochee River,4
Acushnet River,Acushnet River_1,What is the approximate length of the Acushnet River in miles?,9.2 miles,13.8 miles,7.5 miles,15.0 miles,8.6 miles,4
Acushnet River,Acushnet River_2,"The Wampanoag or Algonquian word 'Cushnea', meaning 'as far as the waters', was used by the original inhabitants to describe the extent of what?",The Plimouth colony's territory,A parcel of land intended for sale,The entire Buzzards Bay coastline,The furthest navigable point upstream,A specific river,1
Adair Creek,Adair Creek_1,Approximately how far downstream from its confluence with Logan Creek is the dam on Adair Creek located?,About 0.5 miles,3.5 miles,Three miles,Two miles,One mile,4
Adair Creek,Adair Creek_2,Adair Creek is a tributary of which larger waterway?,Sweetwater Mine,Missouri Route 72,Logan Creek,Missouri Route P,Missouri Route B,2
Adams Branch,Adams Branch_1,Adams Branch is a tributary of which larger river system?,Mississippi River,North Grand River,Missouri River,Osage River,South Grand River,4
Adams Branch,Adams Branch_2,In which Missouri county is Adams Branch located?,Platte County,Jackson County,Clay County,Ray County,Cass County,4
Adams Branch (Richardson Creek tributary),Adams Branch (Richardson Creek tributary)_1,What is the approximate length of Adams Branch in kilometers?,4.64 km,4.64 km,7.47 mi,7.00 km,7.47 km,4
Adams Branch (Richardson Creek tributary),Adams Branch (Richardson Creek tributary)_2,Adams Branch originates in which North Carolina county before flowing into Richardson Creek?,Durham County,Mecklenburg County,Wake County,Orange County,Union County,4
Adams Creek (Dutch Buffalo Creek tributary),Adams Creek (Dutch Buffalo Creek tributary)_1,What is the approximate length of Adams Creek in miles?,9.50 miles,14.29 miles,8.00 miles,14.00 miles,8.88 miles,4
Adams Creek (Dutch Buffalo Creek tributary),Adams Creek (Dutch Buffalo Creek tributary)_2,Adams Creek is classified as which order tributary?,4th order,2nd order,3rd order,5th order,1st order,1
Adams Hollow Creek,Adams Hollow Creek_1,Adams Hollow Creek is a tributary to which larger river system?,Susquehanna River,Mill Creek,Ohio River,Hudson River,Delaware River,4
